date,open,high,low,close,volume
3/22/2024 16:00,63877.04,63883.97,62766.63,63270.62,3056.84037
3/22/2024 17:00,63270.61,63770.91,63260.01,63579.37,1877.78693
3/22/2024 18:00,63579.36,63974.12,63440,63745.83,1625.35844
3/22/2024 19:00,63745.84,64126.09,63440.29,63866.93,1913.16114
3/22/2024 20:00,63866.94,63978.86,63355.85,63501.66,1145.08174
3/22/2024 21:00,63501.67,63517.15,62260,62974,2900.41449
3/22/2024 22:00,62974,63236.03,62553.96,63022,1830.43155
3/22/2024 23:00,63022.01,63812,62985,63796.64,1123.71188
3/23/2024 0:00,63796.64,63804,63536.3,63571.99,973.70353
3/23/2024 1:00,63572,64334.25,63544,64111.63,1899.71273
3/23/2024 2:00,64111.63,64374.91,63739,63861.79,1166.53384
3/23/2024 3:00,63861.78,63866,63000,63556,1312.33055
3/23/2024 4:00,63556,64090,63506.5,63880.63,934.63001
3/23/2024 5:00,63880.62,64132.71,63720.76,64075.12,605.84805
3/23/2024 6:00,64075.13,64289.98,63984,64166,672.35298
3/23/2024 7:00,64166.01,64856.01,64162.02,64575.41,1460.39196
3/23/2024 8:00,64575.41,64857.14,64220,64521.99,1135.10972
3/23/2024 9:00,64522,64597.64,64186.21,64470,802.07123
3/23/2024 10:00,64470,64712.33,64204.09,64320.01,884.49724
3/23/2024 11:00,64320,64629.62,64234,64629.62,639.87361
3/23/2024 12:00,64629.61,64926.87,64537.75,64697.94,1088.91987
3/23/2024 13:00,64697.94,64721.4,64278.15,64596.06,1107.67413
3/23/2024 14:00,64596.06,65414.69,64387.45,65248,2066.92758
3/23/2024 15:00,65247.79,65350,64733.15,65104.05,1340.49966
3/23/2024 16:00,65104.06,65815.31,64892.25,65661.34,2093.03602
3/23/2024 17:00,65661.33,65999,65470.44,65652.7,1424.36914
3/23/2024 18:00,65652.7,65681.72,65270.01,65373.88,692.75822
3/23/2024 19:00,65373.88,65485.15,64786.25,64872.9,1058.3338
3/23/2024 20:00,64872.9,65118.2,64672.93,65009.78,677.42716
3/23/2024 21:00,65009.79,65199.97,64780,64944.69,442.70223
3/23/2024 22:00,64944.68,65050.72,64744.55,64747.86,474.50737
3/23/2024 23:00,64747.87,64810,63861.66,63990.01,1455.90346
3/24/2024 0:00,63990.02,64576.73,63954.85,64524,870.29259
3/24/2024 1:00,64524,64723.16,64380,64470,538.45739
3/24/2024 2:00,64470.01,64539.99,64170,64278.06,658.93709
3/24/2024 3:00,64278.05,64278.06,63922.85,63962.98,868.02748
3/24/2024 4:00,63962.98,64250,63772.29,64218,843.4309
3/24/2024 5:00,64218,64379.62,64103.33,64304.57,431.14367
3/24/2024 6:00,64304.57,64418.54,64086.19,64218.94,522.18944
3/24/2024 7:00,64218.93,64583.44,64027.77,64583.43,887.3597
3/24/2024 8:00,64583.44,65259.42,64476,65244,1825.98978
3/24/2024 9:00,65244,65251.99,64800,64880.02,927.0207
3/24/2024 10:00,64880.01,65368.66,64872,65098.01,862.8569
3/24/2024 11:00,65098.01,65349.56,64958,65334.01,873.86538
3/24/2024 12:00,65334,65783.88,65177.28,65646.77,1705.83907
3/24/2024 13:00,65646.76,65825,65262.8,65357.71,1308.27628
3/24/2024 14:00,65357.72,65925.19,65315.32,65649.99,1477.95869
3/24/2024 15:00,65650,65750.07,65433.22,65673.36,856.48235
3/24/2024 16:00,65673.36,65838.88,65177.38,65249.04,1202.84418
3/24/2024 17:00,65249.04,65539.01,64600.01,65345.99,2260.69649
3/24/2024 18:00,65345.99,66045.99,65340,65846.01,1923.39804
3/24/2024 19:00,65846.01,66041.67,65667.66,65843.02,1490.27069
3/24/2024 20:00,65843.02,66450,65730.6,66161.86,1944.75306
