date,open,high,low,close,volume,name
3/20/2007,202.44,204.43,202,204,6643700,GS
3/21/2007,205.34,211.51,204.16,210.95,10937130,GS
3/22/2007,210.95,211.75,209.29,210.08,8016025,GS
3/23/2007,210.06,211.89,209.71,211.89,5244833,GS
3/26/2007,212.01,212.22,209.3,211.73,6525287,GS
3/27/2007,211.73,211.73,209.74,209.87,4807600,GS
3/28/2007,208.21,208.67,206.19,206.76,7991533,GS
3/29/2007,206.76,208.89,206.3,207.2,6381658,GS
3/30/2007,207.44,209.03,204.7,206.63,5177415,GS
4/2/2007,207.67,207.68,203.29,205.65,5797400,GS
4/3/2007,207,209.75,206.47,209.75,5015350,GS
4/4/2007,209.75,209.95,208.21,208.79,4149803,GS
4/5/2007,208.5,208.5,207.41,207.93,3011038,GS
4/9/2007,208.57,209.87,207.45,208.94,3610733,GS
4/10/2007,208.3,209.81,208.21,209.05,3003200,GS
4/11/2007,208.7,208.87,206.61,206.93,5579934,GS
4/12/2007,206.93,207.52,205.39,207.05,3957297,GS
4/13/2007,207.95,207.95,205.61,206.5,4321013,GS
4/16/2007,208.24,215.23,208.12,214.52,10011400,GS
4/17/2007,215.15,216.87,213.54,214.9,6088939,GS
4/18/2007,214.1,218.54,213.97,216.75,6082270,GS
4/19/2007,215.34,221.71,214.8,219.29,8883909,GS
4/20/2007,221.23,222.19,218.37,220,7395077,GS
4/23/2007,221,223.98,220.48,222.42,5816982,GS
4/24/2007,222.75,223.24,218.71,220.72,6753176,GS
4/25/2007,221.9,226.05,220.1,225.6,7627877,GS
4/26/2007,225.9,226.61,224.17,224.81,4730964,GS
4/27/2007,224.05,225.71,222.99,224.28,3598082,GS
4/30/2007,224.36,224.98,218.48,218.61,5485684,GS
5/1/2007,218.61,219.91,215.35,218.58,6358798,GS
5/2/2007,218,221.92,217.45,219.49,4886132,GS
5/3/2007,220.39,221.93,218.55,221.56,4440627,GS
5/4/2007,221.56,227.34,221.43,227.34,5634720,GS
5/7/2007,227,229.9,225.6,227.22,4637524,GS
5/8/2007,225.92,225.99,222.96,224.95,4880100,GS
5/9/2007,224.95,227.68,223.35,226.57,5195450,GS
5/10/2007,226.57,226.98,222.95,223.1,4968490,GS
5/11/2007,223.91,227.55,223.6,227.5,4958273,GS
5/14/2007,228.03,229,225.35,226.18,4800050,GS
5/15/2007,226.19,228.33,224.26,224.38,5773100,GS
5/16/2007,225.59,227.96,224.52,227.11,5174913,GS
5/17/2007,227.11,227.93,225.25,227.38,4185300,GS
5/18/2007,227.38,231.22,227.95,230.34,6727495,GS
5/21/2007,230.34,231.69,228.56,229.23,7784745,GS
5/22/2007,229.79,231.66,228.75,230.71,3568702,GS
5/23/2007,230.71,232.41,228.43,228.54,4278172,GS
5/24/2007,228.54,230.75,225.05,225.68,6211680,GS
5/25/2007,226.81,226.95,224.19,225.53,4068780,GS
5/29/2007,226.25,228.9,226.03,228.44,3735551,GS
5/30/2007,228.44,232,225.6,232,5395704,GS
5/31/2007,232.21,233.97,230.09,230.82,4588000,GS
6/1/2007,230.82,232.89,229.59,230.71,4093700,GS
6/4/2007,230.71,230.65,227.94,229.71,3419280,GS
6/5/2007,229.36,230.33,228.25,229.36,3711065,GS
6/6/2007,229.36,227.94,224.85,227.35,4413085,GS
6/7/2007,226.29,227.42,219.34,220.05,8365488,GS
6/8/2007,220.1,225.07,218.75,225.06,5903668,GS
6/11/2007,225.6,227.57,224.13,227.16,4285881,GS
6/12/2007,226.9,231.12,225.58,227.85,7477106,GS
6/13/2007,229,233.64,228,233.64,7369930,GS
6/14/2007,227.71,229.3,225.01,225.75,14385954,GS
6/15/2007,227.33,228.47,226,226.19,7433726,GS
6/18/2007,226.55,227.54,224.8,226.97,4370148,GS
6/19/2007,226.16,229.57,225.49,229.47,4580575,GS
6/20/2007,229.75,230.33,225.72,225.89,5833143,GS
6/21/2007,225.98,226.9,222.2,226.9,8341507,GS
6/22/2007,226.5,226.79,220.27,222.4,9801941,GS
6/25/2007,221.5,223.17,215.05,216.74,11567050,GS
6/26/2007,217.7,219.36,214.17,214.17,9712555,GS
6/27/2007,214,219.8,212.56,219.33,9021124,GS
6/28/2007,219.75,221.47,217.67,218.96,5980232,GS
6/29/2007,219.55,220.44,213.69,216.75,7855327,GS
7/2/2007,217.5,219.65,216,219.18,5023784,GS
7/3/2007,220.34,224.9,219.99,224.55,4677010,GS
7/5/2007,224.29,224.29,221.2,221.32,5385700,GS
7/6/2007,220.76,224.22,220.7,223.64,4122400,GS
7/9/2007,223.64,225.77,222.51,223.3,3999912,GS
7/10/2007,223.3,222.7,216.52,217.08,7962305,GS
7/11/2007,216.98,219,214.65,216.72,8925106,GS
7/12/2007,218.47,220.29,216.72,220.29,6072850,GS
7/13/2007,220.06,222.82,219.2,222.18,5605300,GS
7/16/2007,221.87,223.45,219.46,220.4,4654500,GS
7/17/2007,221.74,222.12,218.65,219.4,5586500,GS
7/18/2007,216.03,218.52,212.34,214.99,11665458,GS
7/19/2007,217.08,217.5,210.03,211.69,9463493,GS
7/20/2007,211.17,211.97,204.79,205.94,14541591,GS
7/23/2007,207.16,207.88,204.07,205.04,7759193,GS
7/24/2007,205.04,204.56,196.77,198.15,12345774,GS
7/25/2007,199.8,203.75,197.78,203.16,13936761,GS
7/26/2007,198,199.89,189,195.12,22771777,GS
7/27/2007,194.67,196.84,190.51,192.65,17054636,GS
7/30/2007,194.52,197.6,192.45,195.74,12195048,GS
7/31/2007,198.55,198.99,187.25,188.34,14750194,GS
8/1/2007,187.03,189.1,182.85,189,16284224,GS
8/2/2007,189.15,192.48,185,187.46,13164499,GS
8/3/2007,185.41,186.84,179.68,179.68,19829701,GS
8/6/2007,179.2,187.86,175,187.79,18867529,GS
8/7/2007,186.58,194.64,185.39,191.25,22764300,GS
8/8/2007,192.04,198.5,188.76,193.3,20624333,GS
8/9/2007,186.16,190.65,180.79,182.25,20874100,GS
8/10/2007,178.65,184.41,175.57,180.5,20278700,GS
8/13/2007,185.01,187.25,176.61,177.5,15318100,GS
8/14/2007,178.6,178.78,169,169.75,26257042,GS
8/15/2007,169,173.52,163.83,164.9,22272883,GS
8/16/2007,163.1,171.41,157.38,169.85,31334000,GS
8/17/2007,178.12,180.86,170.5,175,26746300,GS
8/20/2007,176.02,176.39,170.12,172.76,13174400,GS
8/21/2007,172.76,177.3,170,175.48,11796100,GS
8/22/2007,177.52,180.05,174.29,177.89,13436500,GS
8/23/2007,177.89,180.88,175.92,177.5,10550000,GS
8/24/2007,176.77,180.26,175.6,179.73,8935300,GS
8/27/2007,179.33,180.05,177.26,177.95,6664342,GS
8/28/2007,175.01,176.13,170.25,170.95,11611800,GS
8/29/2007,172.38,174.45,167.92,173.72,12802800,GS
8/30/2007,169.96,173.43,169.79,171.38,9560400,GS
8/31/2007,175.65,178.1,173.87,176.01,11023700,GS
9/4/2007,176.18,183.7,176.18,180.8,10161775,GS
9/5/2007,179.68,179.79,176.9,177.81,8988200,GS
9/6/2007,177.7,179.71,175.36,179.18,9250600,GS
9/7/2007,176.6,181.05,175,178.98,15144476,GS
9/10/2007,180.5,186.07,178.5,183.61,12990100,GS
9/11/2007,185.5,187,182.5,183.5,11343300,GS
9/12/2007,183.14,184.25,181.7,182.53,7749775,GS
9/13/2007,183.75,196.04,183.72,188.47,11292971,GS
9/14/2007,186.95,191,185.59,190.59,9339100,GS
9/17/2007,189,189.5,186.34,187.61,7751216,GS
9/18/2007,189.47,200.76,187.41,200.5,22107625,GS
9/19/2007,203.49,207,203,205.5,23115329,GS
9/20/2007,210.95,211,203.44,203.53,27435082,GS
9/21/2007,205.56,210.36,203.53,209.98,18189437,GS
9/24/2007,210.99,214.9,207.71,210.43,13443122,GS
9/25/2007,209,213.07,208.81,210.9,11728166,GS
9/26/2007,212.42,216.27,210.8,214.61,10681052,GS
9/27/2007,215.45,218.38,214.19,216.78,8330043,GS
9/28/2007,215.76,218.67,215.25,216.74,6156316,GS
10/1/2007,215.41,223.62,215.4,222.98,9905572,GS
10/2/2007,223.25,228.5,222.11,228.02,9419799,GS
10/3/2007,226.25,230.63,225.67,227.35,10128543,GS
10/4/2007,227.55,229.25,223.89,225.95,10049601,GS
10/5/2007,227.11,229.72,225.96,228.5,7336039,GS
10/8/2007,227.51,229.35,226.26,226.96,4143591,GS
10/9/2007,227.8,239.7,226.2,239.2,15127647,GS
10/10/2007,237.11,239.03,234.9,235.94,9685200,GS
10/11/2007,239.02,239.02,226.05,229.01,12887100,GS
10/12/2007,230.67,234.2,229.73,233.56,6544714,GS
10/15/2007,233.25,234.31,227.42,229.34,7033795,GS
10/16/2007,227.76,228,223.2,224.83,7416500,GS
10/17/2007,228.25,230.48,223.08,227.62,9189000,GS
10/18/2007,224.9,228.31,224.22,227.85,6499700,GS
10/19/2007,226.15,227.47,217.6,217.69,13113926,GS
10/22/2007,216.52,224.25,213,222.18,12166899,GS
10/23/2007,223.63,225.87,220.91,223.76,8176950,GS
10/24/2007,222.76,225.82,215.8,225.12,12652000,GS
10/25/2007,224.11,230,221.81,226.66,12089159,GS
10/26/2007,232.86,236.99,229.36,235.92,9392751,GS
10/29/2007,236.22,244.98,235.07,243.81,9895160,GS
10/30/2007,241.25,246.4,239.45,240.33,10453306,GS
10/31/2007,240.36,250.7,240,247.92,14391651,GS
11/1/2007,243.55,244.41,238.75,240.21,12579896,GS
11/2/2007,241.8,241.8,223.44,229.6,25177896,GS
11/5/2007,220,224.9,212.8,218.39,21377803,GS
